incident nummer,Incident categorie,Beschrijving incident
1192012,Telefonie / Communicatie,"Vast toestel 5383 blijft hangen op ""discovering...."""
1192024,1e lijns beheer (Helpdesk),Printer doet niks
1192025,Hardware / Werkplekbeheer,Kunne niet meer bij het programma PC volume
1192031,1e lijns beheer (Helpdesk),kaartlezer offline
1192038,2e lijns (Doorgezette incidenten),Outlook aut. handtek.
1192044,2e lijns (Doorgezette incidenten),Procesprinter niet beschikbaar in Ultimo
1192047,1e lijns beheer (Helpdesk),printer server is offline
1192050,1e lijns beheer (Helpdesk),printer server is offline
1192054,2e lijns (Doorgezette incidenten),CS traagheid (everwijzen) a17-04
1192055,Functioneel beheer,"DKSE, overdracht geimporteerde Fin-ERPdocumenten"
1192056,2e lijns (Doorgezette incidenten),CS CRM-ERP: Printen stickervellen gaat niet goed.
1192057,3e lijns (Technische incidenten),Afdrukken op MF gaat enorm traag
1192059,2e lijns (Doorgezette incidenten),"MF geeft melding: ""kaartlezer wordt niet offline onderseunt""."
1192060,2e lijns (Doorgezette incidenten),verzoek om telefoonnummer te vermelden op WSPlaza (telefoonlijst)
1192061,Hardware / Werkplekbeheer,Postvak toevoege
1192063,Telefonie / Communicatie,4485 is teruggevonden
1192070,2e lijns (Doorgezette incidenten),Heeft presentatie in Prezi en wil deze afdrukken
1192071,2e lijns (Doorgezette incidenten),MF: printopdrachten komen er niet uit: geen foutmelding in display
1192075,Functioneel beheer,CS Ziscon: Aanpassen rechten.
1192079,2e lijns (Doorgezette incidenten),Kaartlezer worden niet offline ondersteund.
1192083,Functioneel beheer,CS Document: Aanpassen lettertypen.
1192086,2e lijns (Doorgezette incidenten),Outlook: handtekening kwijt
1192089,Functioneel beheer,CS Stamtabel: Telefoonnummer huisarts klopt niet.
1192091,Functioneel beheer,Vanaf de Laptop kan ik geen bonnen printen voor MI
1192092,2e lijns (Doorgezette incidenten),MF printerinstelling wordt niet bewaard
1192094,2e lijns (Doorgezette incidenten),2013-02-14__Applicatie Winlims start niet
1192095,2e lijns (Doorgezette incidenten),MF: Kaartlezer wordt online niet ondersteund
1192096,2e lijns (Doorgezette incidenten),Ultimo schoonmaak werkbon voor Amsterdam komt niet op de juiste printer
1192097,Functioneel beheer,Opschoon aktie inventaris omzetten van vakgroep 12 naar 00
1192102,Functioneel beheer,Kan niet inloggen vanuit de web
1192105,3e lijns (Technische incidenten),Terugbellen svp. Ivm ondersteuning voor Fortigate
1192106,3e lijns (Technische incidenten),"Zoals in het verleden ook al gemeld, zijn er binnen de D1 problemen met bereikbaarheid van de dect's en de Laptops. Deze"
1192108,2e lijns (Doorgezette incidenten),In Word. Opmaak staat standaard aan.
1192114,Hardware / Werkplekbeheer,Kan met laptop geen verbinding maken met WS-public
1192117,Functioneel beheer,Cs-ziscon: toevoegen rechten
1192126,Functioneel beheer,Cs-domeinportaal: toevoegen huisarts
1192127,2e lijns (Doorgezette incidenten),"ww is verlopen,"
1192135,2e lijns (Doorgezette incidenten),ww reset
1192136,2e lijns (Doorgezette incidenten),CS gebruiker geblControlekamerkeerd dv 5119
1192151,Telefonie / Communicatie,telefoon laad niet op  telf 2851  word gebracht
1192152,2e lijns (Doorgezette incidenten),wire solutions: patiënt heeft 3 dagen geen gebruik kunnen maken van het systeem
1192176,Functioneel beheer,Cs-stamtabel: toevoegen AGB
1192177,2e lijns (Doorgezette incidenten),SAP rechten
1192181,2e lijns (Doorgezette incidenten),ww reset
1192186,2e lijns (Doorgezette incidenten),dv met J. Zomers
1192196,Hardware / Werkplekbeheer,Laptop is traag
1192200,2e lijns (Doorgezette incidenten),Emailnotificatie werkt niet meer
1192203,2e lijns (Doorgezette incidenten),MF krijgrt papiermelding
1192207,Functioneel beheer,Cs-agenda: dbc toevoegen lukt niet
1192209,2e lijns (Doorgezette incidenten),vastloper sessie
1192211,Functioneel beheer,CS--opname: testpatiënt opnemen
1192212,2e lijns (Doorgezette incidenten),Kan haar persoonljjke map niet openen in Outlook
1192213,Functioneel beheer,Cs-dossier: verwijderen contact
1192214,2e lijns (Doorgezette incidenten),MF49924 werkt niet
1192215,Hardware / Werkplekbeheer,Toetsenbord is defect
1192216,2e lijns (Doorgezette incidenten),Outlook handtekening werkt niet meer.
1192217,2e lijns (Doorgezette incidenten),dv HC
1192218,2e lijns (Doorgezette incidenten),Kunnen niet faxen/printen.
1192224,2e lijns (Doorgezette incidenten),dicom printer lControlekameraal of op server?
1192225,2e lijns (Doorgezette incidenten),2013-02-14__Foutmelding met openen webinzage Rogan
1192226,2e lijns (Doorgezette incidenten),"Blijft hangen op ""Documentlijst vernieuwen"""
1192228,2e lijns (Doorgezette incidenten),"CRM-ERP is traag, loopt vast"
1192233,Hardware / Werkplekbeheer,PC's nakijken
1192238,1e lijns beheer (Helpdesk),CRM-ERP loopt telkens vast.
1192239,2e lijns (Doorgezette incidenten),H-schijf weg
1192240,2e lijns (Doorgezette incidenten),inlogproblemen
1192242,2e lijns (Doorgezette incidenten),MobilInlog
1192243,1e lijns beheer (Helpdesk),H schijf verdwenen
1192244,2e lijns (Doorgezette incidenten),traagheid en vastlopers
1192245,2e lijns (Doorgezette incidenten),graag terugbellen wie haar heeft gebeld net
1192246,2e lijns (Doorgezette incidenten),Probleem met H-schijf
1192248,2e lijns (Doorgezette incidenten),Kaartlezer wordt niet offline ondersteund.
1192249,2e lijns (Doorgezette incidenten),Problemen met H-schijf
1192250,2e lijns (Doorgezette incidenten),Problemen met H-schijf
1192251,2e lijns (Doorgezette incidenten),inlogprobleem
1192252,2e lijns (Doorgezette incidenten),Pasje koppelen.
1192254,2e lijns (Doorgezette incidenten),MF reageert niet meer
1192255,2e lijns (Doorgezette incidenten),inlogproblemen
1192256,2e lijns (Doorgezette incidenten),Problemen met H-schijf
1192257,Hardware / Werkplekbeheer,wire solutions: bedarm is lam en meot vervangen worden.
1192258,Functioneel beheer,CS Document: Blanco pagina
1192259,2e lijns (Doorgezette incidenten),Problemen met H-schijf
1192260,Hardware / Werkplekbeheer,Kortsluiting? > brandlucht
1192264,2e lijns (Doorgezette incidenten),mogelijkheid gebruik MF zonder Windows username?
1192266,2e lijns (Doorgezette incidenten),"Kan niet inloggen, na problemen met H-schijf"
1192267,2e lijns (Doorgezette incidenten),Kan niet inloggen na problemen met H-schijf
1192268,2e lijns (Doorgezette incidenten),tokecode gevraagd.
1192271,Functioneel beheer,Cs-agenda: toevoegen subagenda
1192272,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""there are no logon servers available""."
1192273,Functioneel beheer,CS Ziscon: Account is geblControlekamerkeerd.
1192276,Functioneel beheer,CS Opname: Controlekamer kan niet toegevoegd worden (Pat. Everloo 30-10-49)
1192278,2e lijns (Doorgezette incidenten),telewerken
1192279,2e lijns (Doorgezette incidenten),"MF geeft melding: ""kaartlezer wordt niet offline ondersteunt""."
1192280,Functioneel beheer,CS Document: Kan document niet printen
1192281,2e lijns (Doorgezette incidenten),Outlook: kan contactpersonen niet gebruiken
1192283,2e lijns (Doorgezette incidenten),Outlook: handtekening kwijt na problemen met H-schijf
1192287,Functioneel beheer,Contrastreactie toevoegen
1192288,Functioneel beheer,Aanpassingen CS tbv planning
1192289,2e lijns (Doorgezette incidenten),telewerken
1192290,Functioneel beheer,Cs-ziscon: toevoegen account
1192292,2e lijns (Doorgezette incidenten),Word: Taalinstelling verandert steeds in Frans
1192293,Functioneel beheer,e-verwijzen: fout bij klant doorvoeren
1192294,2e lijns (Doorgezette incidenten),Laptop werkt niet hierdoor kan klant niet worden opgenomen
1192297,Functioneel beheer,CS Ziscon: Accounts deblControlekamerkeren
1192298,2e lijns (Doorgezette incidenten),Outlook webmail
1192299,Hardware / Werkplekbeheer,Laptop letter 'E' van toetsenbord werkt niet (blijft steken)
1192300,Telefonie / Communicatie,"Telefoonproblemen, hulp op locatie aub"
1192302,Functioneel beheer,CS Ziscon: mutatie rechten
1192304,Functioneel beheer,CS Ziscon: rechtenvraag  MS Graag specifieker uitvragen
1192307,Functioneel beheer,CS Overzicht: graag lijst aanpassen
1192308,Functioneel beheer,CS Ziscon: Rechtenwens
1192310,Functioneel beheer,CS Agenda: vraag agenda patiëntenbespreking
1192311,Functioneel beheer,CS Agenda: Face-to-face ja/nee presenteren in afspraken-overzicht.
1192313,Functioneel beheer,CS Ziscon: vraag over inloggen en rechten arts assistenten
1192316,Functioneel beheer,CS Ziscon: Rechten voor agenda en toevoegen contact
1192320,Functioneel beheer,CS Agenda: Maken afspraakbevestigingsbrieven
1192323,Functioneel beheer,CS Ziscon: kan geen document accorderen
1192324,Functioneel beheer,CS Ziscon: Rechten servicegeneeskunde toevoegen.
1192326,Functioneel beheer,CS-opname/ziscon: vraag
1192327,Functioneel beheer,CS Opname: vraag
1192328,Functioneel beheer,CS Ziscon: Leering rechten niet juist
1192331,Functioneel beheer,CS Agenda: Instructie verwijzer
1192332,Functioneel beheer,CS Agenda: Controle
1192333,Functioneel beheer,CS Episode: Kop overzicht aanpassen
1192334,Functioneel beheer,CS Agenda: mail Uitleg MBH
1192335,Functioneel beheer,CS Agenda: Bariatrie afspraakcode
1192336,Functioneel beheer,CS Ziscon: Rechten voor het oplossen DBC's
1192337,Functioneel beheer,CS Overzicht: overzicht huisartsen in de regio
1192338,Functioneel beheer,CS-Ziscon: probleem printen
1192339,Functioneel beheer,registreren dialyse bij verrichtingenregistratie
1192340,Functioneel beheer,CS-Overzicht/stamtabel: lijst huisartsen in adherentie gebied
1192342,Functioneel beheer,CS Ziscon: klantverhindering voor CS Agenda
1192343,Functioneel beheer,RFC Request For Change DA
1192344,Functioneel beheer,CS Ziscon: verzoek toevoegen rechten
1192348,Functioneel beheer,CS/CRM-ERP: svp terugbellen: vraag over EPD
1192349,Functioneel beheer,"CS Ziscon: Rechten aanpassen, Jodekker en Mtromp"
1192351,Functioneel beheer,CS Preop: Overnemen van informatie
1192353,Functioneel beheer,CS Preop: Tabblad Inloop POS
1192354,Functioneel beheer,Everwijzen: rechten postbus A-Nefro-Vasculair
1192355,Functioneel beheer,CS CRM-ERP: Meldingen
1192356,Functioneel beheer,CS Document: Sjablonen voor MDO
1192358,Functioneel beheer,CS CRM-ERP: Mutatie gebruikers
1192359,Functioneel beheer,CS Overzichtsgenerator: overzicht Afspraken zonder DBC
1192360,Functioneel beheer,CS Document: MDO bariatrie brief toevoegen
1192363,Functioneel beheer,CS domeinportaal: Alle huisartsen kunnen inloggen in het domeinportaal en gegevens opvragen van hun eigen patiënten.
1192365,Functioneel beheer,CS Ziscon: Aanpassen rechten.
1192367,1e lijns beheer (Helpdesk),ww reset
1192370,3e lijns (Technische incidenten),VPN verbindingen naar Siemens NL werken niet.
1192371,2e lijns (Doorgezette incidenten),CSCRM-ERP start niet op
1192373,2e lijns (Doorgezette incidenten),Outlook meerdere agenda's instellen
1192374,Functioneel beheer,CS EPD: Contact verwijderen
1192378,Hardware / Werkplekbeheer,wire solutions: Men Hoff km 52 b2. Afgelopen weekend geen tv kunnen kijken. Staat alleen Philips op het scherm
1192382,Functioneel beheer,Ultimobonnummers controleren
1192383,Functioneel beheer,CS Controlekamer: Foutmelding bij terugplaatsen Controlekamer naar wachtlijst
1192384,Functioneel beheer,RFC
1192385,Telefonie / Communicatie,"F. Marsman, Gaat over Zakelijke ADSL facturen"
1192386,Telefonie / Communicatie,KPN monteur Netwerk
1192387,Functioneel beheer,Graag willen wij (de secr. van de IC) de mogeljkheid hebben om in CRM-ERP een brief voor de huisarts te maken.
1192388,Telefonie / Communicatie,"sim kaart voor MTH team moet geactiveerd worden, vraagt naar Florieke"
1192389,Functioneel beheer,Dossiertraject servicegeneeskunde
1192390,Functioneel beheer,Snelheid CRM-ERP
1192391,2e lijns (Doorgezette incidenten),in wacht__Paranice traagheid. Is al sinds vorige week donderdag.
1192392,Functioneel beheer,Not enough storage is available to process this command
1192394,Functioneel beheer,Prio 9 Preop vragenlijst bevat nog steeds knop Anti coagulantia
1192399,Hardware / Werkplekbeheer,"Laptop tb blijft defect, men geeft aan dat er niemand is geweest"
1192401,2e lijns (Doorgezette incidenten),Softgrid error bij starten CRM-ERP
1192402,2e lijns (Doorgezette incidenten),Scans komen niet over
1192403,2e lijns (Doorgezette incidenten),Outlook
1192407,Hardware / Werkplekbeheer,Geeft melding dat de C:\ schijf te weinig ruimte heeft. GE computer Exleris (gamma camera)
1192408,Functioneel beheer,CS Agenda: Vraag over wachtlijst
1192409,2e lijns (Doorgezette incidenten),dv CS 5119
1192413,2e lijns (Doorgezette incidenten),Printer blijft ingesteld staan met standaardprinter Sharp MF 236
1192416,2e lijns (Doorgezette incidenten),dv CM
1192418,Hardware / Werkplekbeheer,Bedienpost heeft geen verbinding met de server
1192419,2e lijns (Doorgezette incidenten),standaardprinter instellen hoe?
1192420,Functioneel beheer,Cs-overzicht:
1192421,Functioneel beheer,Cs-stamtabel: toevoegen verwijzer
1192422,2e lijns (Doorgezette incidenten),Outlook agenda's openen
1192424,Functioneel beheer,Ultimo - rapport 'Inventaris zonder PO Model'
1192425,Functioneel beheer,Planning livegang INT/MDL
1192427,2e lijns (Doorgezette incidenten),Infoland safeword code
1192433,Hardware / Werkplekbeheer,Heeft maar 1/4 beeld in de Noord-Hollandzaal
1192434,2e lijns (Doorgezette incidenten),Dv Rene Zengerink
1192440,Functioneel beheer,E-verwijzen
1192441,2e lijns (Doorgezette incidenten),geen printers geinstalleerd op A6-04
1192443,2e lijns (Doorgezette incidenten),Hunite safeword code afgegeven
1192444,2e lijns (Doorgezette incidenten),probleem met gedeelde agenda openen
1192445,2e lijns (Doorgezette incidenten),Dv met Robert Dekkers
1192447,2e lijns (Doorgezette incidenten),Softgrid error bij starten Paranice
1192448,Telefonie / Communicatie,Fout bij bellen naar DECT nummers vanaf 1 specifiek toestel
1192450,Hardware / Werkplekbeheer,Toetsenbord is erg slecht
1192451,1e lijns beheer (Helpdesk),vraag over telefoonlijn alarmcentrale
1192452,2e lijns (Doorgezette incidenten),Kan niet in Outlook
1192453,2e lijns (Doorgezette incidenten),wire solutions scherm start niet op
1192454,Telefonie / Communicatie,teheadset niet draadloos geen verbinding
1192455,Functioneel beheer,CS Document: Verkeerde tekstblControlekamerken
1192457,Functioneel beheer,CS Ziscon: Gebruiker geblControlekamerkeerd.
1192458,2e lijns (Doorgezette incidenten),dv HC
1192459,Hardware / Werkplekbeheer,WS Connect telefoon is erg slecht (Hoorn?)
1192460,Functioneel beheer,CS klant: MRSA melding is verwenen.
1192462,Hardware / Werkplekbeheer,Laptop geeft problemen met inloggen
1192463,2e lijns (Doorgezette incidenten),Mediacom: EMD: uitslagen niet binnen via de computer
1192464,2e lijns (Doorgezette incidenten),kan geen gedeelde agenda openen
1192465,Hardware / Werkplekbeheer,there are no logon servers available
1192466,2e lijns (Doorgezette incidenten),Nieuwe KA: Internet Explorer werkt niet
1192467,2e lijns (Doorgezette incidenten),Mist MF
1192469,Functioneel beheer,Ultimo - export kennisboom receptie
1192471,Hardware / Werkplekbeheer,mevr. kan niet inloggen
1192472,Functioneel beheer,Cs-ziscon: autorisatie
1192475,2e lijns (Doorgezette incidenten),Krijgt maar 2 iconen in beeld
1192476,Hardware / Werkplekbeheer,TC gaat niet meer aan door bekabelingprobleem
1192477,2e lijns (Doorgezette incidenten),geen iconen
1192478,2e lijns (Doorgezette incidenten),"Nieuw, Vraagt om zijn account gegevens"
1192479,2e lijns (Doorgezette incidenten),"IKNL citrix client start weer niet, spoed svp"
1192480,2e lijns (Doorgezette incidenten),kan de juiste printer niet kiezen
1192481,2e lijns (Doorgezette incidenten),Krijgt alleen Mijn computer en mijn documenten op buroblad XENAPPH2-01
1192483,2e lijns (Doorgezette incidenten),Handtekening in Outlook weg
1192484,2e lijns (Doorgezette incidenten),ww vergeten
1192485,Hardware / Werkplekbeheer,Amsterdam - Harddrive fan failure
1192486,Hardware / Werkplekbeheer,printen vanuit InlogPacs vanaf 2 werkplekken
1192487,Telefonie / Communicatie,HAndset heeft geen netwerk
1192488,2e lijns (Doorgezette incidenten),"Na inloggen komt mijn documenten op buroblad, verder niets"
1192489,Functioneel beheer,Cs-agenda: verwijderen afspraak
1192490,2e lijns (Doorgezette incidenten),heeft geen icoonen
1192491,Hardware / Werkplekbeheer,tc geen netwerkverbinding: there are currently no logon servers available
1192492,Hardware / Werkplekbeheer,wire solutions
1192494,Hardware / Werkplekbeheer,PC kan niet aanmelden ivm domain foutmelding
1192495,2e lijns (Doorgezette incidenten),printjes komen er niet uit
1192497,Functioneel beheer,Cs-agenda: volgorde subagenda's
1192500,1e lijns beheer (Helpdesk),kon niet inloggen
1192501,2e lijns (Doorgezette incidenten),kan niet inloggen vaker verkeerde ww ingevoerd
1192503,2e lijns (Doorgezette incidenten),PC start niet door
1192504,2e lijns (Doorgezette incidenten),Facebook website niet benaderbaar
1192505,Functioneel beheer,printen formulier kwaliteitsportaal
1192506,Functioneel beheer,Eskion www bezoektijden aanpassen
1192507,Functioneel beheer,Eskion www en Malengo- faxwijziging
1192508,Functioneel beheer,Eskion plz import hangt
1192509,Functioneel beheer,Eskion plz feest
1192510,Functioneel beheer,Eskion www account Lianca Bruggink
1192512,Functioneel beheer,Eskion www nieuwsbrief wordt niet ontvangen
1192513,Functioneel beheer,Eskion www vakantiedialyse
1192514,Functioneel beheer,Eskion www klachtenformulier
1192515,Functioneel beheer,Eskion www webredactie
1192519,Functioneel beheer,Eskion plz facilitair
1192522,Functioneel beheer,Eskion plz orgaan en weefsel
1192523,Functioneel beheer,Eskion www formulier wijzigen WS lijn
1192524,Functioneel beheer,domeinportaal
1192525,Functioneel beheer,Eskion plz kwalitietisprijs - K&V prijs
1192526,Functioneel beheer,Eskion plz sessie blijvend open
1192527,Functioneel beheer,Eskion plz vraag over prikbor
1192528,Functioneel beheer,"Eskion plz Beter Dossier menu, map en document"
1192532,Functioneel beheer,Eskion www aanpassing fertiliteit contactgegevens
1192533,Functioneel beheer,Eskion www buitenpoli Geesteren
1192534,Functioneel beheer,Eskion plz - nieuwe KA
1192542,Functioneel beheer,Eskion plz bericht correctie advies
1192544,Functioneel beheer,Eskion plz hygiene
1192545,Functioneel beheer,Eskion www url aanvraag .nl/vakantiedialyse
1192546,Functioneel beheer,Eskion www RFC rechten Jschijf
1192550,Functioneel beheer,Eskion www vakantiedialyse url maken
1192552,Functioneel beheer,"Eskion -plz arts assistenten, training"
1192555,Functioneel beheer,Eskion plz ict onder snel naar
1192558,Functioneel beheer,Eskion www films op vimeo plaatsen en in overzicht
1192559,Functioneel beheer,Eskion www nieuwsbrief niet leesbaar
1192560,Functioneel beheer,Eskion www gebruiker instellen
1192567,Functioneel beheer,Eskion www contact Amsterdam en Amsterdam
1192571,Functioneel beheer,Eskion plz nieuwsrubriek academie
1192572,Functioneel beheer,Eskion www verzoek 'publicatie'
1192573,Functioneel beheer,Eskion plz kenniscentrum
1192575,Functioneel beheer,Eskion www aanpassing verloskunde Amsterdam voorlichting en rondleiding
1192576,Functioneel beheer,Eskion www link naar stomavereniging bij blaaskanker en darmkanker
1192580,Functioneel beheer,Eskion www e-mail bij huisarts wordt gespamd
1192584,Functioneel beheer,Eskion plz foto's importeren - map op server
1192586,Functioneel beheer,Eskion plz beheer domeinadministratie
1192587,Functioneel beheer,Eskion plz week van patiëntveiligheid
1192588,Functioneel beheer,Eskion plz - talentenbank
1192589,Functioneel beheer,Eskion www verloskunde contact niet goed?
1192591,Functioneel beheer,Eskion www fouten in objectenmodule
1192594,Functioneel beheer,Eskion plz F&I weergave nieuws
1192595,Functioneel beheer,Eskion www melanoom
1192597,Functioneel beheer,Eskion plz rechten PV
1192598,Functioneel beheer,Eskion www informatie Isala
1192599,Functioneel beheer,Eskion www prostaat folders
1192602,Functioneel beheer,Eskion www klacht aanpassen
1192604,Functioneel beheer,Eskion plz button serious request
1192605,Functioneel beheer,Eskion plz menu items en mappen toevoegen
1192607,Functioneel beheer,Eskion www e-mails verloskundigen bij abonnee nieuwsbrieven
1192610,Functioneel beheer,Esion www symposium diabetische voet
1192613,Functioneel beheer,Eskion www folders vernieuwen
1192617,Functioneel beheer,Eskion Infoland idoc overleg
1192619,Functioneel beheer,Eskion plz bericht van OR
1192620,Functioneel beheer,Eskion en I doc
1192621,Functioneel beheer,Eskion cursus webschrijven
1192623,Functioneel beheer,Eskion www vertel het ons
1192627,Functioneel beheer,"Eskion www twitteraccount, emailaccount en folders"
1192628,Functioneel beheer,Eskion plz organogram
1192629,Functioneel beheer,Aanmelding voor deelname bijeenkomst Helon via WSplaza geeft foutmelding
1192635,Functioneel beheer,Eskion plz titel kwaliteitsdocument
1192636,Functioneel beheer,Eskion www of plz? website personeelzaak pipenzo
1192639,Functioneel beheer,Eskion www inlogaccounts huiaartsen
1192642,Functioneel beheer,Eskion www publicatie en e-mailaccount werkt niet
1192643,Functioneel beheer,Eskion plz opmaak document
1192644,Functioneel beheer,Eskion www medewerekrs pag psychologie aangepast
1192646,Functioneel beheer,Eskion www vervangen verwijsformulier trombose
1192650,Functioneel beheer,Eskion www beveligde info protocol
1192651,Functioneel beheer,Telefoon accu set
1192652,Functioneel beheer,Eskion plz bericht herplaatsen
1192661,Functioneel beheer,Eskion plza bericht op home
1192666,Functioneel beheer,Eskion: internetsite info niet juist
1192670,Functioneel beheer,Eskion: marktplaza vraag mbt hyperlink plaatsen
1192671,Functioneel beheer,pdf-iconen op WSplaza niet meer zichtbaar (na update?)
1192674,Functioneel beheer,internet formulier
1192675,Functioneel beheer,Eskion www uitlijnen nieuwsbrief en gebruik afbeelding
1192676,Functioneel beheer,Eskion plz navigatie domeintechnologie
1192677,Functioneel beheer,Eskion plz winkels-kortingen
1192680,Functioneel beheer,Eskion plz button KPP
1192681,Functioneel beheer,Eskion www aanmmeldcode
1192684,Functioneel beheer,Eskion plz jaardocument
1192685,Functioneel beheer,Eskion www wijzigingen in oude documenten
1192686,Functioneel beheer,Eskion plz - wens menu structuur aanpassen
1192690,Functioneel beheer,Eskion plz pdf formulier updaten
1192692,Functioneel beheer,Eskion www geriatrie
1192694,Functioneel beheer,Eskion www psychiatrie
1192697,Functioneel beheer,Eskion www proctologie
1192698,Functioneel beheer,Eskion www wijziging in contact
1192699,Functioneel beheer,Eskion www bijzondere dagen dienst als op zondag
1192700,Functioneel beheer,Eskion en kwaliteitsportaal
1192701,Functioneel beheer,Eskion www chirurgie-vaat aanpassingen
1192703,Functioneel beheer,Eskion www vacature lid RvB
1192704,Functioneel beheer,WSPlaza P&O versturen van formulier wijzigen Amsterdam foutmelding
1192705,Functioneel beheer,Eskion www ECG Amsterdam
1192707,Functioneel beheer,Eskionm www anesthesie Amsterdam website
1192709,Functioneel beheer,Eskion www verwijsformulier
1192710,Functioneel beheer,Eskion www plz bibliotheek
1192715,Functioneel beheer,Eskion plz fotoalbum
1192718,Functioneel beheer,Eskion www bestaand dashboard documenten
1192719,Functioneel beheer,Eskion plz menuus en pagina's aanpassen
1192720,Functioneel beheer,Eskion release 4.02
1192724,Functioneel beheer,Eskion ultimo registreren
1192725,Functioneel beheer,Eskion www vacatures
1192728,Functioneel beheer,Eskion www strippenkaart
1192730,Functioneel beheer,Esion kwaliteit - overleg
1192732,Functioneel beheer,Eskion www - navigatiestructuur neurologie
1192748,Functioneel beheer,pijnteambespreking
1192838,Hardware / Werkplekbeheer,Accu is slecht van Laptop H133
1192853,Functioneel beheer,CS: ziscon rechten toekennen
1192897,Telefonie / Communicatie,verzoek verplaatsen vaste telefoon (4285) 4 maart
1192902,3e lijns (Technische incidenten),TSMS connectie PACS
1192925,Hardware / Werkplekbeheer,K15 beamer beeld trilt
1192927,Functioneel beheer,Mw. is verpleeghuis en moet toegang krijgen tot de digitale ordermogelijheid: radiologieorder.
1192928,2e lijns (Doorgezette incidenten),"Wetransfer opent niet met IE 7, wel met IE 8"
1192932,Hardware / Werkplekbeheer,lamme bed arm
1192933,Functioneel beheer,Eskion plz beheer active X
1192936,2e lijns (Doorgezette incidenten),bestanden overzetten naar leidinggevende
1192937,1e lijns beheer (Helpdesk),voor jeff. t. t.
1192938,2e lijns (Doorgezette incidenten),Zetacom token code om eclipserver
1192940,2e lijns (Doorgezette incidenten),Outlook vraag over sluiten van archiefmappen
1192942,1e lijns beheer (Helpdesk),handtekening weg
1192943,2e lijns (Doorgezette incidenten),tokencode gevraagd
1192944,Hardware / Werkplekbeheer,Laptop maakt geen verbinding
1192945,2e lijns (Doorgezette incidenten),zou jij janneke voorthuis terug willen bellen
1192946,Hardware / Werkplekbeheer,Scanner start anders op dan normaal
1192949,1e lijns beheer (Helpdesk),inloggegevens nodig
1192951,2e lijns (Doorgezette incidenten),dv RV
1192956,2e lijns (Doorgezette incidenten),MF printopdracht bel servicedesk XENAPPA18-01
1192958,Hardware / Werkplekbeheer,kan niet inloggen op de PC
1192959,2e lijns (Doorgezette incidenten),PC start niet goed op.
1192960,2e lijns (Doorgezette incidenten),tokencode
1192961,3e lijns (Technische incidenten),"CRM-ERP traag/loopt vast, XENAPPA17-03"
1192962,3e lijns (Technische incidenten),vastlopers in CS afsprakenplanning
1192963,1e lijns beheer (Helpdesk),MF blijft papier storing geven
1192964,2e lijns (Doorgezette incidenten),standaardprinter instellingen
1192965,1e lijns beheer (Helpdesk),"Profiel probleem, na inloggen mist ze steeds instellingen"
1192966,2e lijns (Doorgezette incidenten),Mist de apps van Monaco
1192967,2e lijns (Doorgezette incidenten),tokencode
1192968,2e lijns (Doorgezette incidenten),miriam heerdink:  vraagt naar
1192969,2e lijns (Doorgezette incidenten),dv JTT
1192972,2e lijns (Doorgezette incidenten),Feestdagen outlook agenda werkt niet
1192973,Hardware / Werkplekbeheer,beamer doet niet...resolutie aanpassen op ws51681 (K17)waarop de beamer is aangesloten
1192974,3e lijns (Technische incidenten),e-verwijzen: Krijgen geen e-verwijzen binnen
1192975,2e lijns (Doorgezette incidenten),Printprobleem vanaf Farmedvisie website
1192976,2e lijns (Doorgezette incidenten),tokencode gevraagd.
1192979,Hardware / Werkplekbeheer,inlogproblemen: Evox
1192981,2e lijns (Doorgezette incidenten),cannot connect to citrix
1192983,Functioneel beheer,Cs-ziscon: nieuw account
1192984,2e lijns (Doorgezette incidenten),MF pas activeren
1192988,2e lijns (Doorgezette incidenten),vraag mbt laptop
1192990,Functioneel beheer,CS-ziscon: aanpassen rechten
1192991,Functioneel beheer,E-verwijzen
1192997,2e lijns (Doorgezette incidenten),Probleem autotekst document aanmaken in CRM-ERP
1192998,2e lijns (Doorgezette incidenten),tokencode unite
1193001,Functioneel beheer,Cs-ziscon: 3x nieuw account
1193002,2e lijns (Doorgezette incidenten),https://www.farmedvisie.nl/tmz/ erg traag op deze site op meerdere pc's
1193009,Functioneel beheer,Cs-ziscon: mutatie rechten
1193012,Functioneel beheer,Kan geen selectielijst exporteren naar excel
1193014,2e lijns (Doorgezette incidenten),5360 accu handset
1193016,2e lijns (Doorgezette incidenten),J:\ de map Controlekamer CSA stond in de map Controlekamer Algemeen protocollen. Hoort een niveau hoger.
1193017,1e lijns beheer (Helpdesk),pst kwijt
1193019,Functioneel beheer,"Bon: 01193013 is gesloten, maar jobsoort staat verkeerd"
1193020,1e lijns beheer (Helpdesk),adobe traag
1193022,2e lijns (Doorgezette incidenten),CS dv 5119
1193024,Functioneel beheer,CS Stamtabel: Toevoegen arts
1193026,Functioneel beheer,e-verwijzen: kan e-verwijzing niet verwerken
1193027,1e lijns beheer (Helpdesk),wire solutions: TV doet helemaal niks meer
1193028,Functioneel beheer,Verzoek Lifeline/domeinring
1193029,3e lijns (Technische incidenten),Decos audiologie
1193031,3e lijns (Technische incidenten),Thinkwise aritmethic overflow error
1193033,3e lijns (Technische incidenten),scannen naar CS
1193034,Functioneel beheer,CS ROM Suite: Aantal overzichten in het Controle Werkblad werkt nog niet goed
